Méthode,Fonction,Temps_Execution,Iter1,Iter2,Iter3
BAT,F1,0.023659467697143555,37951.283949124336,37950.482544545426,37949.66677804051
BAT,F1,0.019239187240600586,29045.867629755583,29044.681293556376,29043.337517312146
FFA,F1,0.011843204498291016,86301.88757342208,11144.734645607383,10208.773926527965
FFA,F1,0.009828805923461914,73994.87857672285,9002.912686531772,8144.725486303373
